"XCoord;YCoord;FID;NOMDIS;NOMBRE;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB;AREA_M2"
"440826,66650975;4477096,74463685;81;Chamberí;Rios Rosas;7;07;RIOS ROSAS;75;075;5;RIOS ROSAS;7-5;975419,853645"
"439682,38136261;4477158,88738504;82;Chamberí;Vallehermoso;7;07;VALLEHERMOSO;76;076;6;VALLEHERMOSO;7-6;1069239,037850"
"444582,39995743;4477117,63733622;83;Ciudad Lineal;San Pascual;15;15;SAN PASCUAL;155;155;5;SAN PASCUAL;15-5;1052724,597420"
"448224,08295460;4477135,69321660;84;San Blas - Canillejas;Canillejas;20;20;CANILLEJAS;207;207;7;CANILLEJAS;20-7;1597706,226830"
"449590,42853191;4475395,53161008;85;San Blas - Canillejas;Rosas;20;20;ROSAS;205;205;5;ROSAS;20-5;9296501,191190"
"446491,59394096;4477373,19161942;86;San Blas - Canillejas;Salvador;20;20;SALVADOR;208;208;8;SALVADOR;20-8;1880110,039590"
"451648,39914550;4477317,16949981;87;San Blas - Canillejas;Rejas;20;20;REJAS;206;206;6;REJAS;20-6;5015732,121950"
"436118,49747530;4475050,32257198;88;Moncloa - Aravaca;Casa de Campo;9;09;CASA DE CAMPO;91;091;1;CASA DE CAMPO;9-1;17460617,372900"
"441927,29576394;4477360,96360462;89;Chamartín;El Viso;5;05;EL VISO;51;051;1;EL VISO;5-1;1709232,752610"
"442929,78513351;4477733,18191049;90;Chamartín;Ciudad Jardín;5;05;CIUDAD JARDIN;53;053;3;CIUDAD JARDÍN;5-3;762309,554637"
"443241,51642042;4477279,65185653;91;Chamartín;Prosperidad;5;05;PROSPERIDAD;52;052;2;PROSPERIDAD;5-2;1040058,180200"
"444343,15104527;4477988,46123427;92;Ciudad Lineal;San Juan Bautista;15;15;SAN JUAN BAUTISTA;156;156;6;SAN JUAN BAUTISTA;15-6;1010844,474910"
"440893,96904367;4478108,12432494;93;Tetuán;Cuatro Caminos;6;06;CUATRO CAMINOS;62;062;2;CUATRO CAMINOS;6-2;1185033,991600"
"447754,93820055;4478175,94233994;94;Hortaleza;Palomas;16;16;PALOMAS;161;161;1;PALOMAS;16-1;1068837,590820"
"439996,54252084;4478217,69894958;95;Tetuán;Bellas Vistas;6;06;BELLAS VISTAS;61;061;1;BELLAS VISTAS;6-1;715169,658718"
"442584,73369344;4478520,65119830;96;Chamartín;Hispanoamérica;5;05;HISPANOAMERICA;54;054;4;HISPANOAMÉRICA;5-4;1712523,614930"
"446151,48856880;4478532,52911235;97;Hortaleza;Piovera;16;16;PIOVERA;162;162;2;PIOVERA;16-2;3139649,511660"
"444014,43246969;4478807,33950921;98;Ciudad Lineal;Colina;15;15;COLINA;157;157;7;COLINA;15-7;559698,964963"
"440230,39741052;4479011,42129430;99;Tetuán;Berruguete;6;06;BERRUGUETE;66;066;6;BERRUGUETE;6-6;607063,386777"
"449818,21843411;4478581,44840507;100;Barajas;Alameda de Osuna;21;21;ALAMEDA DE OSUNA;211;211;1;ALAMEDA DE OSUNA;21-1;2031267,281500"
